nProducers	backoffStartTimeout	chunkSize	cleanupCycles	nConsumers	type	Score	Error	Units
6	0	100	1	1	SALSA	580,177	3,722	ops/ms
6	0	100	1	2	SALSA	542,949	3,852	ops/ms
6	0	100	1	4	SALSA	537,667	1,301	ops/ms
6	0	100	1	6	SALSA	506,616	7,569	ops/ms
6	0	100	1	8	SALSA	562,096	5,456	ops/ms
6	0	100	2147483647	1	SALSA	548,275	2,205	ops/ms
6	0	100	2147483647	2	SALSA	532,097	1,744	ops/ms
6	0	100	2147483647	4	SALSA	553,773	1,834	ops/ms
6	0	100	2147483647	6	SALSA	504,079	8,621	ops/ms
6	0	100	2147483647	8	SALSA	509,658	7,010	ops/ms
6	0	500000	1	1	SALSA	544,414	1,369	ops/ms
6	0	500000	1	2	SALSA	508,263	3,744	ops/ms
6	0	500000	1	4	SALSA	540,378	9,898	ops/ms
6	0	500000	1	6	SALSA	530,454	10,298	ops/ms
6	0	500000	1	8	SALSA	509,547	8,043	ops/ms
6	0	500000	2147483647	1	SALSA	542,906	0,922	ops/ms
6	0	500000	2147483647	2	SALSA	533,194	11,379	ops/ms
6	0	500000	2147483647	4	SALSA	555,044	6,967	ops/ms
6	0	500000	2147483647	6	SALSA	508,627	5,371	ops/ms
6	0	500000	2147483647	8	SALSA	493,255	12,400	ops/ms
6	5	100	1	1	SALSA	549,108	2,733	ops/ms
6	5	100	1	2	SALSA	518,835	1,954	ops/ms
6	5	100	1	4	SALSA	534,361	4,778	ops/ms
6	5	100	1	6	SALSA	528,884	2,584	ops/ms
6	5	100	1	8	SALSA	507,499	5,667	ops/ms
6	5	100	2147483647	1	SALSA	543,476	1,590	ops/ms
6	5	100	2147483647	2	SALSA	528,522	3,529	ops/ms
6	5	100	2147483647	4	SALSA	534,775	3,418	ops/ms
6	5	100	2147483647	6	SALSA	503,973	30,540	ops/ms
6	5	100	2147483647	8	SALSA	517,273	12,010	ops/ms
6	5	500000	1	1	SALSA	541,681	2,405	ops/ms
6	5	500000	1	2	SALSA	497,026	5,526	ops/ms
6	5	500000	1	4	SALSA	539,109	7,569	ops/ms
6	5	500000	1	6	SALSA	510,596	13,095	ops/ms
6	5	500000	1	8	SALSA	491,799	23,565	ops/ms
6	5	500000	2147483647	1	SALSA	549,775	2,008	ops/ms
6	5	500000	2147483647	2	SALSA	517,430	7,575	ops/ms
6	5	500000	2147483647	4	SALSA	529,322	11,212	ops/ms
6	5	500000	2147483647	6	SALSA	532,026	6,992	ops/ms
6	5	500000	2147483647	8	SALSA	519,505	17,727	ops/ms
6	50	100	1	1	SALSA	550,359	1,577	ops/ms
6	50	100	1	2	SALSA	534,448	3,678	ops/ms
6	50	100	1	4	SALSA	534,079	1,759	ops/ms
6	50	100	1	6	SALSA	528,542	4,338	ops/ms
6	50	100	1	8	SALSA	493,528	11,469	ops/ms
6	50	100	2147483647	1	SALSA	552,708	2,664	ops/ms
6	50	100	2147483647	2	SALSA	528,281	2,271	ops/ms
6	50	100	2147483647	4	SALSA	525,264	2,273	ops/ms
6	50	100	2147483647	6	SALSA	517,281	15,844	ops/ms
6	50	100	2147483647	8	SALSA	503,228	13,329	ops/ms
6	50	500000	1	1	SALSA	548,932	0,734	ops/ms
6	50	500000	1	2	SALSA	523,258	3,373	ops/ms
6	50	500000	1	4	SALSA	541,226	3,625	ops/ms
6	50	500000	1	6	SALSA	502,010	14,177	ops/ms
6	50	500000	1	8	SALSA	495,551	15,096	ops/ms
6	50	500000	2147483647	1	SALSA	548,390	2,402	ops/ms
6	50	500000	2147483647	2	SALSA	515,017	7,417	ops/ms
6	50	500000	2147483647	4	SALSA	524,125	5,681	ops/ms
6	50	500000	2147483647	6	SALSA	486,957	6,195	ops/ms
6	50	500000	2147483647	8	SALSA	487,609	5,915	ops/ms
