nProducers	nConsumers	type	Score	Error	Units	backoffStartTimeout	chunkSize	cleanupCycles
6	6	SALSA	528,542	4,338	ops/ms	50	100	1
6	8	SALSA	493,528	11,469	ops/ms	50	100	1
6	1	SALSA	552,708	2,664	ops/ms	50	100	2147483647
6	2	SALSA	528,281	2,271	ops/ms	50	100	2147483647
6	4	SALSA	525,264	2,273	ops/ms	50	100	2147483647
6	6	SALSA	517,281	15,844	ops/ms	50	100	2147483647
6	8	SALSA	503,228	13,329	ops/ms	50	100	2147483647
6	1	SALSA	548,932	0,734	ops/ms	50	500000	1
6	2	SALSA	523,258	3,373	ops/ms	50	500000	1
6	4	SALSA	541,226	3,625	ops/ms	50	500000	1
6	6	SALSA	502,01	14,177	ops/ms	50	500000	1
6	8	SALSA	495,551	15,096	ops/ms	50	500000	1
6	1	SALSA	548,39	2,402	ops/ms	50	500000	2147483647
6	2	SALSA	515,017	7,417	ops/ms	50	500000	2147483647
6	4	SALSA	524,125	5,681	ops/ms	50	500000	2147483647
6	6	SALSA	486,957	6,195	ops/ms	50	500000	2147483647
6	8	SALSA	487,609	5,915	ops/ms	50	500000	2147483647
8	1	SALSA	569,952	2,937	ops/ms	0	100	1
8	2	SALSA	580,079	3,404	ops/ms	0	100	1
8	4	SALSA	586,453	11,174	ops/ms	0	100	1
8	6	SALSA	651,658	5,247	ops/ms	0	100	1
8	8	SALSA	536,875	19,075	ops/ms	0	100	1
8	1	SALSA	548,085	5,635	ops/ms	0	100	2147483647
8	2	SALSA	566,601	27,201	ops/ms	0	100	2147483647
8	4	SALSA	573,25	3,273	ops/ms	0	100	2147483647
8	6	SALSA	637,377	7,476	ops/ms	0	100	2147483647
8	8	SALSA	552,238	7,736	ops/ms	0	100	2147483647
8	1	SALSA	542,524	0,968	ops/ms	0	500000	1
8	2	SALSA	556,129	14,243	ops/ms	0	500000	1
8	4	SALSA	569,579	7,508	ops/ms	0	500000	1
8	6	SALSA	643,724	18,526	ops/ms	0	500000	1
8	8	SALSA	549,331	8,638	ops/ms	0	500000	1
8	1	SALSA	547,916	5,607	ops/ms	0	500000	2147483647
8	2	SALSA	555,906	2,489	ops/ms	0	500000	2147483647
8	4	SALSA	568,695	7,541	ops/ms	0	500000	2147483647
8	6	SALSA	662,317	14,5	ops/ms	0	500000	2147483647
8	8	SALSA	519,539	12,857	ops/ms	0	500000	2147483647
8	1	SALSA	554,639	1,449	ops/ms	5	100	1
