nProducers	backoffStartTimeout	chunkSize	cleanupCycles	nConsumers	type	Score	Error	Units
8	0	100	1	1	SALSA	569,952	2,937	ops/ms
8	0	100	1	2	SALSA	580,079	3,404	ops/ms
8	0	100	1	4	SALSA	586,453	11,174	ops/ms
8	0	100	1	6	SALSA	651,658	5,247	ops/ms
8	0	100	1	8	SALSA	536,875	19,075	ops/ms
8	0	100	2147483647	1	SALSA	548,085	5,635	ops/ms
8	0	100	2147483647	2	SALSA	566,601	27,201	ops/ms
8	0	100	2147483647	4	SALSA	573,250	3,273	ops/ms
8	0	100	2147483647	6	SALSA	637,377	7,476	ops/ms
8	0	100	2147483647	8	SALSA	552,238	7,736	ops/ms
8	0	500000	1	1	SALSA	542,524	0,968	ops/ms
8	0	500000	1	2	SALSA	556,129	14,243	ops/ms
8	0	500000	1	4	SALSA	569,579	7,508	ops/ms
8	0	500000	1	6	SALSA	643,724	18,526	ops/ms
8	0	500000	1	8	SALSA	549,331	8,638	ops/ms
8	0	500000	2147483647	1	SALSA	547,916	5,607	ops/ms
8	0	500000	2147483647	2	SALSA	555,906	2,489	ops/ms
8	0	500000	2147483647	4	SALSA	568,695	7,541	ops/ms
8	0	500000	2147483647	6	SALSA	662,317	14,500	ops/ms
8	0	500000	2147483647	8	SALSA	519,539	12,857	ops/ms
8	5	100	1	1	SALSA	554,639	1,449	ops/ms
8	5	100	1	2	SALSA	558,274	2,383	ops/ms
8	5	100	1	4	SALSA	571,199	5,140	ops/ms
8	5	100	1	6	SALSA	637,191	7,643	ops/ms
8	5	100	1	8	SALSA	576,720	7,268	ops/ms
8	5	100	2147483647	1	SALSA	537,919	4,790	ops/ms
8	5	100	2147483647	2	SALSA	562,065	3,417	ops/ms
8	5	100	2147483647	4	SALSA	570,417	3,659	ops/ms
8	5	100	2147483647	6	SALSA	627,964	14,100	ops/ms
8	5	100	2147483647	8	SALSA	560,545	13,667	ops/ms
8	5	500000	1	1	SALSA	547,675	3,723	ops/ms
8	5	500000	1	2	SALSA	537,530	11,624	ops/ms
8	5	500000	1	4	SALSA	582,070	6,365	ops/ms
8	5	500000	1	6	SALSA	654,690	16,476	ops/ms
8	5	500000	1	8	SALSA	556,258	10,946	ops/ms
8	5	500000	2147483647	1	SALSA	543,128	6,347	ops/ms
8	5	500000	2147483647	2	SALSA	554,169	13,216	ops/ms
8	5	500000	2147483647	4	SALSA	584,105	8,826	ops/ms
8	5	500000	2147483647	6	SALSA	634,316	18,419	ops/ms
8	5	500000	2147483647	8	SALSA	556,196	5,347	ops/ms
8	50	100	1	1	SALSA	551,565	2,414	ops/ms
8	50	100	1	2	SALSA	561,600	12,193	ops/ms
8	50	100	1	4	SALSA	598,355	9,808	ops/ms
8	50	100	1	6	SALSA	613,748	26,569	ops/ms
8	50	100	1	8	SALSA	558,767	7,965	ops/ms
8	50	100	2147483647	1	SALSA	538,782	2,075	ops/ms
8	50	100	2147483647	2	SALSA	570,331	9,802	ops/ms
8	50	100	2147483647	4	SALSA	585,513	22,284	ops/ms
8	50	100	2147483647	6	SALSA	620,691	13,852	ops/ms
8	50	100	2147483647	8	SALSA	544,925	7,361	ops/ms
8	50	500000	1	1	SALSA	542,091	7,023	ops/ms
8	50	500000	1	2	SALSA	552,790	24,498	ops/ms
8	50	500000	1	4	SALSA	597,148	9,371	ops/ms
8	50	500000	1	6	SALSA	624,695	23,407	ops/ms
8	50	500000	1	8	SALSA	518,216	59,100	ops/ms
8	50	500000	2147483647	1	SALSA	533,005	41,193	ops/ms
8	50	500000	2147483647	2	SALSA	560,104	26,387	ops/ms
8	50	500000	2147483647	4	SALSA	565,667	53,839	ops/ms
8	50	500000	2147483647	6	SALSA	575,524	58,032	ops/ms
8	50	500000	2147483647	8	SALSA	519,473	50,133	ops/ms
